Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,econ_themes,hybrid_text,cluster,x,y
04-02-2009,http://www.marketwatch.com/story/feb-gold-ends-up-960-11,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",1,0,0,0,1,0,positive,"['ends', '901 60', 'feb', 'gold', 'ounce']","feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce ends 901 60 feb gold ounce",21,0.47898293,0.09320027
28-07-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-trades-in-red-in-early-trade-eyes-near-term-range-at-rs-28300-28600/articleshow/59803537.cms,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",0,0,1,0,1,0,negative,"['gold', 'rs 28 300', 'near term range', 'red early', 'early trade eyes']","gold trades in red in early trade; eyes near-term range at rs 28,300-28,600 gold rs 28 300 near term range red early early trade eyes",-1,-0.078403346,0.050733414
31-10-2011,http://www.marketwatch.com/story/gold-loses-13-but-logs-monthly-gain-of-63-2011-10-31,"gold loses 1.3%, but logs monthly gain of 6.3%",1,0,1,0,1,0,positive,"['loses', 'gold', 'monthly gain', 'loses logs', 'logs monthly']","gold loses 1.3%, but logs monthly gain of 6.3% loses gold monthly gain loses logs logs monthly",-1,0.0055803657,0.02003526
21-09-2013,https://www.moneycontrol.com/news/business/markets/-1668497.html,gold recovery? here's one way to play it,1,0,0,0,0,1,positive,"['way', 'play', 'recovery', 'gold', 'gold recovery way']",gold recovery? here's one way to play it way play recovery gold gold recovery way,-1,-0.10964374,0.14746998
22-09-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-rebound-rs-350-on-global-cues-weak-rupee/articleshow/60794262.cms,"gold prices rebound rs 350 on global cues, weak rupee",1,0,0,1,1,0,positive,"['global cues', '350', 'rebound', 'weak rupee', 'gold prices']","gold prices rebound rs 350 on global cues, weak rupee global cues 350 rebound weak rupee gold prices",-1,-0.15825413,0.10375227
11-05-2016,https://www.moneycontrol.com/news/trends/24x7booking-trends/can-investmentgold-sensexppfs-givesame-returns-999662.html,"can investment in gold, sensex & ppfs give the same returns?",0,0,0,0,0,1,none,"['gold', 'returns', 'sensex', 'investment', 'ppfs returns']","can investment in gold, sensex & ppfs give the same returns? gold returns sensex investment ppfs returns",-1,-0.253339,0.014955379
14-05-2013,https://economictimes.indiatimes.com/news/economy/indicators/gold-rush-spooks-economy-as-trade-deficit-surges-to-17-8-bn/articleshow/20040266.cms,gold rush spooks economy as trade deficit surges to $17.8 bn,1,0,0,0,1,0,positive,"['bn', 'rush spooks', 'deficit surges 17', 'gold', 'economy trade deficit']",gold rush spooks economy as trade deficit surges to $17.8 bn bn rush spooks deficit surges 17 gold economy trade deficit,-1,-0.15060584,0.11020794
04-09-2018,https://www.thehindubusinessline.com/markets/gold/gold-futures-down-at-rs-30244/article24861849.ece,"Gold futures down at Rs 30,244 ",0,0,1,0,1,0,negative,"['rs', '30', '30 244', 'gold', 'futures']","Gold futures down at Rs 30,244  rs 30 30 244 gold futures",23,0.022221506,-0.36941493
04-09-2018,https://www.metalsdaily.com/link/282776/state-street-gold-likely-to-climb-back-to-$1-350-an-ounce-by-the-end-of-2018.htm,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",1,0,0,0,1,0,positive,"['street', '350', 'state', 'ounce end 2018', 'gold likely climb']","state street : gold likely to climb back to $1,350 an ounce by the end of 2018 street 350 state ounce end 2018 gold likely climb",-1,0.22826718,0.03027109
09-12-2016,http://www.investing.com/news/commodities-news/gold-prices-slip-lower-as-dollar-remains-supported-446716,gold prices slip lower as dollar remains supported,0,0,1,1,1,0,negative,"['remains', 'supported', 'lower', 'gold prices', 'prices slip lower']",gold prices slip lower as dollar remains supported remains supported lower gold prices prices slip lower,-1,-0.02438254,-0.0050388947
03-02-2017,https://www.moneycontrol.com/news/business/stocks/gold-to-trade28670-29160-range-achiievers-equities-948756.html,gold to trade in 28670-29160 range: achiievers equities,0,1,0,0,0,1,neutral,"['achiievers', 'range', '28670 29160', 'equities', 'gold trade']",gold to trade in 28670-29160 range: achiievers equities achiievers range 28670 29160 equities gold trade,3,0.034435913,0.10993467
19-06-2015,https://www.thehindubusinessline.com/markets/gold/gold-holds-firm-near-1200-on-dovish-fed/article7332525.ece,"Gold holds firm near $1,200 on dovish Fed",0,1,0,0,1,0,neutral,"['near 200', 'gold', 'fed', 'dovish', 'holds firm near']","Gold holds firm near $1,200 on dovish Fed near 200 gold fed dovish holds firm near",-1,-0.0004799664,0.016145341
25-09-2017,http://www.marketwatch.com/story/gold-prices-finish-at-a-more-than-one-week-high-2017-09-25,Gold prices finish at a more than one-week high,1,0,0,0,1,0,positive,"['finish', 'high', 'week', 'prices', 'gold prices']",Gold prices finish at a more than one-week high finish high week prices gold prices,-1,0.017620638,-0.040088534
28-02-2018,https://www.metalsdaily.com/link/277185/india-is-gold-a-good-investment-in-a-volatile-market.htm,india : is gold a good investment in a volatile market?,0,0,0,0,0,1,none,"['good', 'volatile', 'india', 'investment', 'gold good']",india : is gold a good investment in a volatile market? good volatile india investment gold good,-1,-0.23207358,0.11375758
13-12-2012,http://www.marketwatch.com/story/gold-futures-down-over-20oz-ahead-of-settlement-2012-12-13,gold futures down over $20/oz ahead of settlement,0,0,1,0,1,0,negative,"['ahead', '20', 'oz', 'settlement', 'gold futures']",gold futures down over $20/oz ahead of settlement ahead 20 oz settlement gold futures,-1,0.1710503,-0.4390509
30-01-2017,http://www.marketwatch.com/story/gold-holds-modest-gains-up-310-or-03-at-119150oz-after-data-2017-01-30,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",1,0,0,0,1,0,positive,"['191 50', 'holds modest', 'gains 10', 'gold', 'oz data']","Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data 191 50 holds modest gains 10 gold oz data",-1,0.30486923,0.17785093
15-03-2006,http://www.marketwatch.com/story/april-gold-up-140-to-end-the-day-at-55440oz-in-ny-2006-03-15,april gold up $1.40 to end the day at $554.40/oz in ny,1,0,0,0,1,0,positive,"['554', '40 oz', 'ny', 'end day', 'april gold']",april gold up $1.40 to end the day at $554.40/oz in ny 554 40 oz ny end day april gold,21,0.41569024,0.0620915
01-11-2011,https://www.moneycontrol.com/news/business/stocks/-1946461.html,"Gold, Silver may trade lower today: Angel Commodities",0,0,1,1,1,0,negative,"['today', 'angel', 'lower', 'commodities', 'gold silver trade']","Gold, Silver may trade lower today: Angel Commodities today angel lower commodities gold silver trade",8,-0.09104213,0.1160587
26-10-2017,http://www.marketwatch.com/story/kaz-minerals-lifts-copper-gold-guidance-2017-10-26,"KAZ Minerals lifts copper, gold guidance",1,0,0,1,1,0,positive,"['guidance', 'lifts', 'kaz', 'minerals', 'copper gold guidance']","KAZ Minerals lifts copper, gold guidance guidance lifts kaz minerals copper gold guidance",-1,-0.25336877,0.124726675
28-02-2017,http://www.marketwatch.com/story/gold-little-changed-after-data-2017-02-28,Gold little-changed after data,0,1,0,0,1,0,neutral,"['little', 'changed', 'data', 'gold', 'changed data']",Gold little-changed after data little changed data gold changed data,-1,-0.09414586,0.16135624
27-11-2017,https://www.metalsdaily.com/link/274264/germany-why-gold-market-in-germany-is-thriving.htm,germany : why gold market in germany is thriving,1,0,0,0,1,0,positive,"['thriving', 'market', 'germany', 'gold', 'germany gold market']",germany : why gold market in germany is thriving thriving market germany gold germany gold market,-1,-0.18255512,0.2058107
19-06-2009,http://www.marketwatch.com/story/august-gold-ends-up-160-or-02-at-93620,"august gold ends up $1.60, or 0.2%, at $936.20",1,0,0,0,1,0,positive,"['936 20', 'ends', '60', 'gold', 'august']","august gold ends up $1.60, or 0.2%, at $936.20 936 20 ends 60 gold august",21,0.3694105,0.04793679
14-04-2010,http://www.marketwatch.com/story/gold-futures-at-highest-since-early-december-2010-04-14,gold futures at highest since early december,1,0,0,0,1,0,positive,"['early', 'gold', 'highest', 'december', 'futures']",gold futures at highest since early december early gold highest december futures,-1,-0.032006502,-0.43501306
22-12-2004,http://www.marketwatch.com/story/gold-futures-close-narrowly-lower-2004-12-22,gold futures close narrowly lower,0,0,1,0,1,0,negative,"['lower', 'gold', 'narrowly', 'futures close', 'gold futures']",gold futures close narrowly lower lower gold narrowly futures close gold futures,-1,-0.11141772,-0.50594485
23-11-2018,https://www.moneycontrol.com/news/business/commodities/gold-edges-up-ahead-of-g20-meeting-set-to-post-second-weekly-gain-3212401.html,Gold edges up ahead of G20 meeting; set to post second weekly gain,1,0,0,0,1,0,positive,"['second weekly', 'gain', 'meeting set post', 'gold', 'edges ahead g20']",Gold edges up ahead of G20 meeting; set to post second weekly gain second weekly gain meeting set post gold edges ahead g20,-1,-0.15024284,-0.019121647
03-12-2004,http://www.marketwatch.com/story/feb-gold-falls-10c-to-45220oz-in-morning-ny-trade-2004-12-03,feb gold falls 10c to $452.20/oz in morning ny trade,0,0,1,0,1,0,negative,"['10c 452', 'feb', 'ny trade', '20 oz morning', 'gold falls']",feb gold falls 10c to $452.20/oz in morning ny trade 10c 452 feb ny trade 20 oz morning gold falls,21,0.38730168,0.074656814
30-05-2000,http://www.marketwatch.com/story/gold-little-changed-copper-sinks,gold little changed; copper sinks,0,1,0,1,1,0,neutral,"['little', 'changed', 'gold', 'sinks', 'changed copper']",gold little changed; copper sinks little changed gold sinks changed copper,-1,-0.020057127,0.13912174
07-01-2013,https://www.moneycontrol.com/news/business/markets/-1701983.html,gold swings between gains and drops on stronger dollar,1,0,1,1,1,0,positive,"['stronger', 'swings', 'dollar', 'drops', 'gold swings gains']",gold swings between gains and drops on stronger dollar stronger swings dollar drops gold swings gains,-1,-0.07835618,0.08932833
20-06-2018,https://www.metalsdaily.com/link/280600/charts-gold-gld-etf-update-breakdown-.htm,charts : gold gld etf update - breakdown ?,0,0,0,0,0,1,none,"['breakdown', 'gold', 'gld', 'etf update', 'charts']",charts : gold gld etf update - breakdown ? breakdown gold gld etf update charts,-1,-0.18064672,0.019761205
19-12-2011,http://www.marketwatch.com/story/feb-gold-down-120-to-close-at-159670oz-2011-12-19,"feb. gold down $1.20 to close at $1,596.70/oz",0,0,1,0,1,0,negative,"['596 70', 'feb', 'oz', 'gold', '20 close']","feb. gold down $1.20 to close at $1,596.70/oz 596 70 feb oz gold 20 close",21,0.41932976,-0.004526481
19-01-2005,http://www.marketwatch.com/story/philly-gold-and-silver-index-falls-05-to-end-at-9353-2005-01-19,philly gold and silver index falls 0.5% to end at 93.53,0,0,1,1,1,0,negative,"['falls', 'end 93', 'index', 'philly', 'gold silver']",philly gold and silver index falls 0.5% to end at 93.53 falls end 93 index philly gold silver,7,0.04612671,0.009248048
19-10-2016,http://www.marketwatch.com/story/dec-gold-settles-at-126990oz-up-7-or-06-2016-10-19,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",1,0,0,0,1,0,positive,"['dec', '90', '269', 'oz', 'gold settles']","Dec. gold settles at $1,269.90/oz, up $7, or 0.6% dec 90 269 oz gold settles",21,0.48195106,-0.019439429
21-03-2018,http://www.investing.com/news/commodities-news/gold-prices-hold-onto-gains-ahead-of-fomc-statement-1352279,Gold Prices Hold onto Gains Ahead of FOMC Statement,0,1,0,0,1,0,neutral,"['ahead', 'statement', 'fomc', 'prices hold gains', 'gold prices']",Gold Prices Hold onto Gains Ahead of FOMC Statement ahead statement fomc prices hold gains gold prices,-1,-0.10610972,0.005918324
10-08-2017,http://www.marketwatch.com/story/december-gold-trades-08-higher-at-1289oz-2017-08-10,"December gold trades 0.8% higher at $1,289/oz.",1,0,0,0,1,0,positive,"['289', 'december', 'gold', 'oz', 'trades higher']","December gold trades 0.8% higher at $1,289/oz. 289 december gold oz trades higher",-1,0.3370943,0.038618356
21-05-2018,https://www.metalsdaily.com/link/279813/gold-bulls-push-for-the-exits-on-strong-dollar-and-lack-of-fear.htm,gold bulls push for the exits on strong dollar and lack of fear,0,0,1,1,1,0,negative,"['strong', 'push exits', 'dollar', 'lack fear', 'bulls']",gold bulls push for the exits on strong dollar and lack of fear strong push exits dollar lack fear bulls,-1,-0.11636758,0.055060852
14-04-2010,http://www.marketwatch.com/story/gold-ends-05-higher-at-115960-an-ounce-2010-04-14,"gold ends 0.5% higher, at $1,159.60 an ounce",1,0,0,0,1,0,positive,"['ends', 'higher', '159 60', 'ounce', 'gold ends']","gold ends 0.5% higher, at $1,159.60 an ounce ends higher 159 60 ounce gold ends",21,0.33538765,0.06155113
26-03-2015,"http://www.investing.com/news/commodities-news/gold-futures-soar-above-$1,200,-amid-escalating-conflict-in-yemen-334368","gold futures soar above $1,200, amid escalating conflict in yemen",1,0,0,0,1,0,positive,"['escalating', '200 amid', 'soar', 'yemen', 'gold futures']","gold futures soar above $1,200, amid escalating conflict in yemen escalating 200 amid soar yemen gold futures",-1,0.056093484,-0.24810201
23-05-2013,http://www.marketwatch.com/story/gold-falls-after-fed-talk-boosts-dollar-2013-05-22,gold settles at its highest level in a week,1,0,0,0,1,0,positive,"['highest', 'week', 'level week', 'gold', 'settles']",gold settles at its highest level in a week highest week level week gold settles,20,0.04044126,-0.046749383
18-08-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-steady-buoyed-by-geopolitical-worries/articleshow/60112652.cms,"gold prices rise for a third day, buoyed by geopolitical worries",1,0,0,0,1,0,positive,"['buoyed', 'worries', 'rise day', 'geopolitical', 'gold prices']","gold prices rise for a third day, buoyed by geopolitical worries buoyed worries rise day geopolitical gold prices",-1,-0.13036363,0.13292888
01-12-2017,https://www.thehindubusinessline.com/markets/gold/gold-holds-near-312-week-low-as-investors-opt-for-riskier-assets/article9978905.ece,Gold holds near 3-1/2 week low as investors opt for riskier assets,0,1,1,0,1,0,negative,"['opt riskier', 'low', 'near week', 'assets', 'gold holds near']",Gold holds near 3-1/2 week low as investors opt for riskier assets opt riskier low near week assets gold holds near,-1,-0.060865223,-0.0153841
16-02-2018,http://www.marketwatch.com/story/firmer-gold-futures-head-for-weekly-gain-2018-02-16,"gold ends higher, logs biggest weekly gain since 2016",1,0,0,0,1,0,positive,"['biggest', 'weekly', 'gain 2016', 'higher logs', 'gold ends']","gold ends higher, logs biggest weekly gain since 2016 biggest weekly gain 2016 higher logs gold ends",-1,-0.06957808,0.0039340854
16-06-2017,http://www.marketwatch.com/story/august-gold-rises-02-at-125750oz-2017-06-16,"August gold rises 0.2% at $1,257.50/oz.",1,0,0,0,1,0,positive,"['257 50', 'rises', '50 oz', 'gold', 'august']","August gold rises 0.2% at $1,257.50/oz. 257 50 rises 50 oz gold august",21,0.38280404,0.20208806
21-04-2004,http://www.marketwatch.com/story/gold-futures-at-seven-week-low-2004-04-21,gold futures at seven-week low,0,0,1,0,1,0,negative,"['seven', 'low', 'futures', 'seven week', 'gold futures']",gold futures at seven-week low seven low futures seven week gold futures,-1,-0.058914423,-0.4982472
27-09-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-steady-after-hawkish-yellen-comments/articleshow/60849877.cms,gold edges down as dollar gains on fed rate hike view,0,0,1,1,1,0,negative,"['view', 'gains', 'hike', 'fed rate', 'gold edges']",gold edges down as dollar gains on fed rate hike view view gains hike fed rate gold edges,-1,-0.16419739,0.0474642
20-09-2018,https://www.metalsdaily.com/link/284308/van-eck-tighter-global-monetary-policy-to-support-gold-market.htm,van eck : tighter global monetary policy to support gold market,1,0,0,0,0,1,positive,"['policy support', 'tighter global', 'van eck', 'monetary', 'support gold market']",van eck : tighter global monetary policy to support gold market policy support tighter global van eck monetary support gold market,-1,-0.13148981,0.09411827
06-06-2018,https://www.thehindubusinessline.com/markets/gold/gold-rebounds-to-rs-31860-on-firm-global-cues/article24095236.ece,"Gold rebounds to Rs 31,860 on firm global cues",1,0,0,0,1,0,positive,"['rs', 'cues', '31 860', 'firm global', 'gold rebounds']","Gold rebounds to Rs 31,860 on firm global cues rs cues 31 860 firm global gold rebounds",-1,-0.114625536,0.20833334
29-07-2016,http://www.marketwatch.com/story/december-gold-gains-410-or-03-to-134530oz-2016-07-29,"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",1,0,0,0,1,0,positive,"['10 345 30', 'oz', 'gains', 'december', 'gold']","december gold gains $4.10, or 0.3%, to $1,345.30/oz. 10 345 30 oz gains december gold",21,0.39943373,0.09917144
11-09-2017,http://www.marketwatch.com/story/gold-prices-settle-at-lowest-level-in-more-than-a-week-2017-09-11,gold prices settle at lowest level in more than a week,0,0,1,0,1,0,negative,"['week', 'settle', 'lowest level', 'prices settle', 'gold prices']",gold prices settle at lowest level in more than a week week settle lowest level prices settle gold prices,-1,0.057754487,-0.12633017
29-09-2010,http://www.marketwatch.com/story/dec-gold-down-30-cents-at-1310oz-on-globex-2010-09-29,"dec. gold down 30 cents at $1,310/oz on globex",0,0,1,0,1,0,negative,"['310', 'oz', 'dec', 'globex', 'gold 30 cents']","dec. gold down 30 cents at $1,310/oz on globex 310 oz dec globex gold 30 cents",21,0.3599047,0.102165066
13-09-2016,http://www.marketwatch.com/story/dec-gold-settles-at-132370oz-down-190-or-01-2016-09-13,"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",0,0,1,0,1,0,negative,"['323 70', 'dec', 'gold', 'settles', '70 oz 90']","Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1% 323 70 dec gold settles 70 oz 90",21,0.5188606,0.013667971
22-02-2017,http://www.marketwatch.com/story/gold-jumps-03-from-settlement-price-after-fed-minutes-to-123740-an-ounce-2017-02-22,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",1,0,0,0,1,0,positive,"['minutes 237', 'jumps', '40 ounce', 'gold', 'settlement price fed']","Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce minutes 237 jumps 40 ounce gold settlement price fed",-1,0.2637841,-0.047036693
08-01-2010,http://www.marketwatch.com/story/gold-lost-1-to-112180-an-ounce-2010-01-08,"gold lost 1% to $1,121.80 an ounce",0,0,1,0,1,0,negative,"['lost', '80', 'gold', 'lost 121 80', 'ounce']","gold lost 1% to $1,121.80 an ounce lost 80 gold lost 121 80 ounce",-1,0.3146475,0.17532182
09-03-2016,http://www.marketwatch.com/story/gold-futures-fall-for-a-third-straight-session-2016-03-09,gold futures fall for a third straight session,0,0,1,0,1,0,negative,"['straight', 'fall', 'session', 'futures fall', 'gold futures']",gold futures fall for a third straight session straight fall session futures fall gold futures,-1,-0.05099404,-0.49632275
31-08-2011,http://www.marketwatch.com/story/gold-has-best-monthly-performance-since-nov-2009-2011-08-31,gold has best monthly performance since nov. 2009,1,0,0,0,1,0,positive,"['best', '2009', 'gold', 'performance nov', 'monthly performance']",gold has best monthly performance since nov. 2009 best 2009 gold performance nov monthly performance,-1,-0.14065175,0.11687191
02-10-2017,http://www.marketwatch.com/story/gold-prices-settle-at-lowest-level-in-nearly-8-weeks-2017-10-02,gold prices settle at lowest level in nearly 8 weeks,0,0,1,0,1,0,negative,"['nearly', 'weeks', 'lowest level', 'prices settle', 'gold prices']",gold prices settle at lowest level in nearly 8 weeks nearly weeks lowest level prices settle gold prices,-1,0.072105065,-0.10462457
0201-04-27,http://www.marketwatch.com/story/gold-futures-climb-back-above-1200oz-on-comex-2015-04-27,"gold futures climb back above $1,200/oz on comex",1,0,0,0,1,0,positive,"['climb', '200', 'oz', 'comex', 'gold futures']","gold futures climb back above $1,200/oz on comex climb 200 oz comex gold futures",-1,0.15214191,-0.33810622
02-10-2003,http://www.marketwatch.com/story/metals-shares-turn-higher-gold-futures-still-lower-2003-10-02,metals shares turn higher; gold futures still lower,0,0,1,0,1,0,negative,"['turn', 'lower', 'metals', 'shares turn higher', 'gold futures']",metals shares turn higher; gold futures still lower turn lower metals shares turn higher gold futures,-1,-0.1994951,-0.33025616
18-06-2012,https://economictimes.indiatimes.com/markets/commodities/gold-declines-first-time-in-seven-days-after-greek-elections/articleshow/14241472.cms,gold declines first time in seven days after greek elections,0,0,1,0,1,0,negative,"['time', 'seven days', 'elections', 'greek', 'gold declines']",gold declines first time in seven days after greek elections time seven days elections greek gold declines,-1,-0.06281715,0.055942263
26-10-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-edges-up-as-dollar-eases-ahead-of-ecb-meeting/articleshow/61233638.cms,gold gains on weaker dollar; markets brace for ecb decision,1,0,0,1,1,0,positive,"['weaker', 'gains', 'gold', 'dollar markets', 'brace ecb decision']",gold gains on weaker dollar; markets brace for ecb decision weaker gains gold dollar markets brace ecb decision,-1,-0.096371785,0.122095704
12-12-2017,http://www.marketwatch.com/story/gold-holds-modest-loss-after-ppi-report-2017-12-12,gold holds modest loss after ppi report,0,0,1,0,1,0,negative,"['report', 'modest', 'loss', 'ppi', 'gold holds']",gold holds modest loss after ppi report report modest loss ppi gold holds,-1,-0.079551995,0.081101835
28-11-2017,http://www.marketwatch.com/story/february-gold-contract-notches-highest-settlement-in-over-a-week-2017-11-28,February gold contract notches highest settlement in over a week,1,0,0,0,1,0,positive,"['week', 'february', 'gold', 'contract notches', 'highest settlement']",February gold contract notches highest settlement in over a week week february gold contract notches highest settlement,-1,0.005552605,-0.11642167
27-07-2017,http://www.marketwatch.com/story/august-gold-climbs-by-1060-or-09-to-settle-at-1260oz-2017-07-27,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",1,0,0,0,1,0,positive,"['10', '60 settle', 'august', '260 oz', 'gold climbs']","August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz 10 60 settle august 260 oz gold climbs",21,0.40114546,0.09688905
23-03-2010,http://www.marketwatch.com/story/gold-finishes-higher-at-110370oz-2010-03-23,"gold finishes higher at $1,103.70/oz",1,0,0,0,1,0,positive,"['103 70', 'finishes', 'higher', 'oz', 'gold']","gold finishes higher at $1,103.70/oz 103 70 finishes higher oz gold",-1,0.3125484,0.13633564
11-01-2018,https://www.metalsdaily.com/link/275678/debt-global-debt-surges-gold-and-silver-investors-patience-will-soon-pay-off.htm,debt : global debt surges - gold and silver investors' patience will soon pay off,1,0,0,1,0,1,positive,"['silver', 'surges gold', 'patience soon pay', 'investors', 'debt global debt']",debt : global debt surges - gold and silver investors' patience will soon pay off silver surges gold patience soon pay investors debt global debt,-1,-0.25515497,0.16594583
22-04-2008,http://www.marketwatch.com/story/gold-futures-open-higher-as-dollar-drops-2008-04-22,"gold futures open higher, as dollar drops",1,0,0,1,1,0,positive,"['dollar', 'drops', 'gold', 'open higher', 'futures open']","gold futures open higher, as dollar drops dollar drops gold open higher futures open",-1,-0.061896615,-0.4080008
08-03-2011,http://www.marketwatch.com/story/gold-declines-as-gadhafi-reportedly-exiting-2011-03-08,gold futures close with a more than $7 loss,0,0,1,0,1,0,negative,"['close', 'gold', 'loss', 'gold futures', 'futures close loss']",gold futures close with a more than $7 loss close gold loss gold futures futures close loss,-1,-0.0035620183,-0.5220901
30-08-2017,http://www.marketwatch.com/story/gold-prices-slip-from-11-month-highs-as-dollar-steadies-2017-08-30,"gold surrenders 11-month highs on stronger dollar, upbeat economic data",0,0,1,1,1,0,negative,"['economic data', 'month highs stronger', 'gold', 'surrenders 11', 'dollar upbeat economic']","gold surrenders 11-month highs on stronger dollar, upbeat economic data economic data month highs stronger gold surrenders 11 dollar upbeat economic",-1,-0.011860475,0.1315115
09-10-2013,http://www.marketwatch.com/story/gold-edges-up-in-electronic-trade-post-fed-minutes-2013-10-09,gold edges up in electronic trade post-fed minutes,1,0,0,0,1,0,positive,"['post', 'minutes', 'fed', 'electronic trade', 'gold edges electronic']",gold edges up in electronic trade post-fed minutes post minutes fed electronic trade gold edges electronic,-1,-0.12894386,0.041326605
12-06-2018,https://www.metalsdaily.com/link/280454/when-will-golds-summer-doldrums-end-history-says-pretty-soon.htm,when will gold's 'summer doldrums' end? history says pretty soon,0,0,0,0,0,1,none,"['says pretty', 'end history', 'gold', 'pretty soon', 'summer doldrums']",when will gold's 'summer doldrums' end? history says pretty soon says pretty end history gold pretty soon summer doldrums,-1,-0.0686678,-0.040237546
