,Dates,News,original_sentiment,VADER_sentiment
27,01-11-2011,"Gold, Silver may trade lower today: Angel Commodities",negative,-0.296
28,26-10-2017,"KAZ Minerals lifts copper, gold guidance",positive,0.0
29,28-02-2017,Gold little-changed after data,neutral,0.0
30,27-11-2017,germany : why gold market in germany is thriving,positive,0.0
31,19-06-2009,"august gold ends up $1.60, or 0.2%, at $936.20",positive,0.0
32,14-04-2010,gold futures at highest since early december,positive,0.0
33,22-12-2004,gold futures close narrowly lower,negative,-0.296
34,23-11-2018,Gold edges up ahead of G20 meeting; set to post second weekly gain,positive,0.5267
35,03-12-2004,feb gold falls 10c to $452.20/oz in morning ny trade,negative,0.0
36,30-05-2000,gold little changed; copper sinks,neutral,0.0
37,07-01-2013,gold swings between gains and drops on stronger dollar,positive,0.6124
38,20-06-2018,charts : gold gld etf update - breakdown ?,none,0.0
39,19-12-2011,"feb. gold down $1.20 to close at $1,596.70/oz",negative,0.0
40,19-01-2005,philly gold and silver index falls 0.5% to end at 93.53,negative,0.0
41,19-10-2016,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",positive,0.0
42,21-03-2018,Gold Prices Hold onto Gains Ahead of FOMC Statement,neutral,0.34
43,10-08-2017,"December gold trades 0.8% higher at $1,289/oz.",positive,0.0
44,21-05-2018,gold bulls push for the exits on strong dollar and lack of fear,negative,-0.296
45,14-04-2010,"gold ends 0.5% higher, at $1,159.60 an ounce",positive,0.0
46,26-03-2015,"gold futures soar above $1,200, amid escalating conflict in yemen",positive,-0.3182
47,23-05-2013,gold settles at its highest level in a week,positive,0.0
48,18-08-2017,"gold prices rise for a third day, buoyed by geopolitical worries",positive,-0.4215
49,01-12-2017,Gold holds near 3-1/2 week low as investors opt for riskier assets,negative,-0.4215
50,16-02-2018,"gold ends higher, logs biggest weekly gain since 2016",positive,0.5267
51,16-06-2017,"August gold rises 0.2% at $1,257.50/oz.",positive,0.0
52,21-04-2004,gold futures at seven-week low,negative,-0.2732
53,27-09-2017,gold edges down as dollar gains on fed rate hike view,negative,0.34
54,20-09-2018,van eck : tighter global monetary policy to support gold market,positive,0.4019
55,06-06-2018,"Gold rebounds to Rs 31,860 on firm global cues",positive,0.0
56,29-07-2016,"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",positive,0.34
57,11-09-2017,gold prices settle at lowest level in more than a week,negative,-0.3818
58,29-09-2010,"dec. gold down 30 cents at $1,310/oz on globex",negative,0.0
59,13-09-2016,"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",negative,0.0
60,22-02-2017,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",positive,0.0
61,08-01-2010,"gold lost 1% to $1,121.80 an ounce",negative,-0.3182
62,09-03-2016,gold futures fall for a third straight session,negative,0.2263
63,31-08-2011,gold has best monthly performance since nov. 2009,positive,0.6369
64,02-10-2017,gold prices settle at lowest level in nearly 8 weeks,negative,-0.3818
65,0201-04-27,"gold futures climb back above $1,200/oz on comex",positive,0.0
66,02-10-2003,metals shares turn higher; gold futures still lower,negative,0.0
67,18-06-2012,gold declines first time in seven days after greek elections,negative,0.0
68,26-10-2017,gold gains on weaker dollar; markets brace for ecb decision,positive,-0.128
69,12-12-2017,gold holds modest loss after ppi report,negative,-0.3182
70,28-11-2017,February gold contract notches highest settlement in over a week,positive,0.0
71,27-07-2017,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",positive,0.0
72,23-03-2010,"gold finishes higher at $1,103.70/oz",positive,0.0
73,11-01-2018,debt : global debt surges - gold and silver investors' patience will soon pay off,positive,-0.6597
74,22-04-2008,"gold futures open higher, as dollar drops",positive,0.0
75,08-03-2011,gold futures close with a more than $7 loss,negative,-0.3744
76,30-08-2017,"gold surrenders 11-month highs on stronger dollar, upbeat economic data",negative,0.3818
77,09-10-2013,gold edges up in electronic trade post-fed minutes,positive,0.0
78,12-06-2018,when will gold's 'summer doldrums' end? history says pretty soon,none,0.4939
79,29-06-2017,Gold ends lower as rise in government bond yields dulls investment interest,negative,-0.0516
80,23-08-2013,gold jewellery exports fall 70% in july,none,0.0
81,29-04-2011,"silver, gold near lifetime highs, dollar loses ground",negative,-0.3182
82,23-07-2012,african barrick gold production declines,none,0.0
83,14-06-2016,"Gold futures down at Rs 30,568 on weak global cues",negative,-0.4404
84,05-05-2004,"metals shares fall, but gold futures edge up",positive,0.1531
85,27-06-2008,august gold ends up $16.20 at $931.30 an ounce on nymex,positive,0.0
86,29-01-2004,"gold futures fall under $400, first time since dec. 2",negative,0.0
87,03-11-2016,ghana makes government certificate mandatory for exporting dore gold,none,0.0772
88,05-01-2018,gold holds modest loss after ism services data,negative,-0.3182
89,18-08-2016,gold notches two-week high on expectations fed will lift rates slowly,positive,0.0
90,07-12-2012,gold prices gain in major metros in india,positive,0.5267
91,03-05-2018,gold futures mark first gain in four sessions,positive,0.5267
92,06-11-2007,"gold sets fresh multi-decade high of $815.2/ounce, up $4.4",positive,0.3182
93,01-12-2011,Support for MCX Gold Feb at Rs 28800: Kotak Commodity,none,0.4019
94,24-04-2014,microsoft ceo sees 'gold rush' in the cloud,none,0.0
95,26-01-2017,gold ends at lowest level in over 2 weeks as dollar strengthens,negative,0.1027
96,07-04-2016,"gold, silver bounce on global cues, jewellers buying",positive,0.0
97,16-12-2013,gold scores gain for second session in a row,positive,0.5267
98,20-02-2015,Jewellers want gold import duty cut to 2%,none,-0.2023
99,13-09-2013,"gold heads for worst week in 2 months on syria, fed",negative,-0.6249
100,05-08-2011,"gold hits new high of rs 24,350; silver sheds rs 3,100",positive,0.0
101,01-11-2005,dec gold falls $4.10 to $462.80/oz in morning ny trade,negative,0.0
102,09-12-2016,"Gold at 10-month low, down 5 weeks in a row",negative,-0.2732
103,13-04-2018,abc refinery gains shanghai gold exchange accreditation,none,0.34
104,24-10-2011,Spot Gold rates move up today,positive,0.0
105,04-02-2016,"gold jumps above $1,150 as u.s. dollar collapses to 3-month low",positive,-0.5106
106,07-12-2016,Gold futures end higher after back-to-back drop,positive,-0.2732
107,06-07-2018,natixis : look for gold to rally in september as usd weakens,positive,-0.3182
108,24-10-2017,silver steals the shine as gold loses lustre,negative,-0.6808
109,20-09-2006,kinross gold agrees $500 million credit facility,none,0.5267
110,10-10-2017,"Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%",positive,0.0
111,08-06-2009,gold ends at two-week low as dollar continues to strengthen,negative,0.0516
112,29-08-2016,gold futures fall 0.24% on global cues,negative,0.0
113,06-07-2018,Gold prices to trade lower today: Angel Commodities,negative,-0.296
114,25-06-2012,gold rates: mcx goldguinea july contract declines,negative,0.0
115,09-01-2018,india : jewellers & bullion traders spar over gold import duty,none,0.0
116,12-03-2013,gold prices may slip to rs 28745-27850: mangal keshav,negative,0.0
117,17-07-2001,"gold issues, futures prices inch up",positive,0.0
118,20-07-2017,"August gold settles at $1,245.50/oz, up $3.50, or 0.3%",positive,0.0
119,08-01-2018,Gold Prices Remain Lower on Stronger U.S. Dollar,negative,0.1027
120,05-01-2018,gold prices pull back from 4-month highs,negative,0.0
121,06-01-2014,"feb. gold down $3.70, or 0.3%, at $1,234.90/oz",negative,0.0
122,02-08-2016,"December gold gains $8.50, or 0.6%, at $1,368.50/oz.",positive,0.34
123,17-05-2006,gold futures climb above $700 an ounce in morning dealings,positive,0.0
124,14-01-2016,gold etfs record rs 900 cr outflow in 2015; aum down 20%,negative,0.0
125,04-09-2013,gold may touch rs 35500/10gms in few days: kishore narne,none,0.0
126,20-08-2018,how trumpenomics torpedoed gold prices,none,0.0
127,20-07-2017,"august gold off 0.5% at $1,253.90/oz.",negative,0.0
128,26-06-2017,"August gold down $10, or 0.8%, to settle at $1,246.40/oz",negative,0.0
129,28-03-2017,"April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258",negative,0.0
130,09-01-2017,"Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%",positive,0.0
131,01-03-2011,"gold, oil hold to gains after ism data",neutral,0.34
132,25-09-2014,"price-fixing of gold, oil to become a crime in u.k.",none,-0.5423
133,08-07-2008,gold holds steady as dollar firms,neutral,0.0
134,10-10-2000,gold gains on dollar weakness,positive,-0.1027
135,16-11-2017,"gold rate today: gold, silver down in morning trade",negative,0.0
136,03-05-2013,Modern medicine strikes gold,none,-0.3612
137,26-05-2010,gold prices gain along with stock futures,positive,0.5267
138,24-04-2001,metals issues climb; gold steadies,neutral,0.0
139,11-09-2008,gold falls for ninth day as dollar rises vs. euro,negative,0.0
140,21-03-2018,gold futures finish at a 1-week high ahead of fed decision,positive,0.0
141,20-02-2018,fred hickey - buy gold,positive,0.0
142,07-09-2017,"December gold up 0.3% at $1,343.30/oz.",positive,0.0
143,05-12-2017,Here's what's driving bitcoin buyers' rush to 'millennial gold',none,0.0
144,20-05-2013,"More steps' to curb gold imports, if needed",none,0.0
145,27-11-2017,"Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%",positive,0.0
146,24-02-2004,gold shares buoy bay street,positive,0.296
147,12-05-2011,gold ends higher; silver down 2% after steep loss,negative,-0.3182
148,02-02-2017,Gold futures log highest settlement since mid-November,positive,0.0
149,26-11-2009,"gold closes above rs 18,000-level on strong global cues",positive,0.5106
150,15-10-2008,"gold ends lower at rs 13,130",negative,-0.296
151,01-11-2018,"Gold glitters ahead of Dhanteras, Diwali",positive,0.0
152,08-04-2015,"Gold holds above $1,200/oz on weaker dollar before Fed minutes",neutral,-0.4404
153,06-07-2012,"gold, silver encounter profit-selling, global cues",negative,0.0
154,17-10-2013,Gold surges most in four weeks on Dagong US downgrade,positive,0.0
155,03-08-2014,Gold / Silver / Copper futures - weekly outlook: August 4 - 8,none,0.0
156,17-03-2017,"April gold settles at $1,230.20/bbl, up $3.10, or 0.3%",positive,0.0
157,09-11-2015,Gold prices gain in Asia as China CPI up less than expected,positive,0.5267
158,04-05-2018,"gold futures end slightly higher, but tally a third straight weekly loss",positive,-0.1531
159,02-03-2017,have a question about gold? ask the author of 'precious metals investing for dummies' now,none,0.5719
160,07-12-2018,sharps pixley: chinese gold demand slipping - but still up y-o-y,positive,-0.0644
161,13-10-2017,Expect Gold to trade sideways: Sushil Finance,neutral,0.0
162,31-07-2017,today gold price: track today gold rate latest trends and news,none,0.0
163,24-10-2011,"Dhanteras: This season, it is lightweight gold, silver",none,0.0
164,27-11-2009,"hiding behind gold's flashy moves, oil's the true performer",positive,0.1531
165,02-05-2012,"gold, oil trade lower as jobs data weigh",negative,-0.296
166,06-08-2018,sge : daily shanghai gold benchmark price,none,0.0
167,05-03-2008,"gold futures rise, as dollar edges lower",positive,-0.296
168,13-02-2017,Gold suffers from biggest single-day dollar and percentage loss since Jan. 25,negative,-0.6597
169,12-09-2014,expect downward move in gold: astromoneyguru,negative,0.0
170,11-04-2018,rjo futures : gold versus silver: q2 to benefit the white metals,none,0.4588
171,31-10-2017,Gold prices end the month with a loss of about 1.1%,negative,-0.3182
172,23-02-2016,"april gold settles at $1,222.60/oz on comex, up $12.50, or 1%",positive,0.0
173,16-04-2010,"june gold down $11.7, or 1%, after sentiment data",negative,0.0
174,22-11-2017,hong kong : world's top jeweler reveals growing appetite for gold in china,none,0.3612
175,18-09-2017,"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment",negative,-0.2732
176,18-04-2018,Gold slips as dollar steadies on positive US data,negative,0.5574
177,17-09-2015,gold prices jump in early asia as fed hold steady citing global weakness,positive,-0.4215
178,02-09-2011,"intraday strategy for gold, nickel, lead: angel broking",none,0.0
179,15-12-2016,Gold futures settle at lowest level since early February,negative,-0.3818
180,26-11-2014,"gold ends lower, still flirting with $1,200 level",negative,-0.1027
181,06-11-2009,"gold may be flying, but this gold stock's a turkey",none,0.0
182,07-11-2011,"gold, silver start week on firm note, rise on global cues",positive,0.0
183,05-09-2016,"Gold, silver gain on more bets the Fed will take it slow on raising rates",positive,0.5267
184,31-10-2018,"Gold industry sees prices rising to $1,532/oz over 12 months",positive,0.0
185,02-06-2009,gold rises as dollar weakens anew; silver ends near $16,positive,-0.3182
186,08-03-2018,Gold Prices Edge Higher With All Eyes on U.S. Tariffs,positive,0.0
187,20-08-2008,december gold up $5.90 to $822.70 an ounce on globex,positive,0.0
188,12-04-2016,Gold at 3-week high as dollar struggles amid US rate outlook,positive,-0.3612
189,27-04-2018,"june gold up 0.2% at $1,319.90/oz.",positive,0.0
190,16-11-2012,sell mcx gold dec around rs 31500; target rs 31170: geojit,none,0.0
191,22-11-2011,MCX GOLD February contract moves up,positive,0.0
192,29-05-2018,"august gold trades at $1,300.10/oz, down $8.90, or 0.7%",negative,0.0
193,12-11-2018,Gold futures up 0.36% on positive global cues,positive,0.5574
194,25-04-2017,"Gold futures dip to Rs 29,012 on weak global cues",negative,-0.4404
195,11-10-2011,MCX GOLDPETAL Nov contract up marginally,positive,0.0
196,05-12-2017,gold holds steady amid softer dollar,neutral,0.0
197,17-04-2011,Assets under Gold ETFs up nearly three fold,positive,0.1779
198,09-12-2016,Gold marks new session lows as U.S. dollar index trades near day's highs,negative,-0.2023
199,14-12-2017,gold rises to 1-week high as dollar holds steady,positive,0.0
200,03-09-2012,gold adds to gains after weak china data,positive,-0.128
201,02-11-2018,gold prices fall for the session to post a modest loss for the week,negative,-0.3182
202,17-10-2016,"commodity watch: gold, silver rise; sugar slides in futures trade",positive,0.0
203,23-01-2014,"Look to buy gold on dips to $1,240",negative,0.0
204,24-06-2013,"goldman's prior end-2013 gold call was $1,435/oz",none,0.0
205,10-01-2017,"Gold futures pare gains, but still finish at a 6-week high",positive,0.1779
206,26-04-2010,gold survives goldman sachs,none,0.0
207,02-03-2009,gold futures up $12.20 at $954.70 an ounce,positive,0.0
208,11-05-2018,reserve bank of india adds 2.5 tonnes of gold to forex reserves in q4,none,0.0
209,04-10-2017,"Gold futures rise to Rs 29,416",positive,0.0
210,29-06-2005,"cboe gold index closes at 84.2, up 4%",positive,0.0
211,21-08-2017,"Dec. gold settles at $1,296.70/oz, up $5.10, or 0.4%",positive,0.0
212,23-08-2006,moody's revises pilgrim's pride outlook on gold kist bid,none,0.34
213,24-04-2017,"june gold futures fall $11.60, or 0.9%, to settle at $1,277.50 an ounce",negative,0.0
214,29-04-2011,gold prices soar but buyers bet on akshaya tritiya,positive,0.0
215,06-10-2017,Gold future extend losses after jobs report,negative,-0.25
216,11-11-2016,"Dec. gold drops $33.40, or 2.6%, to $1,233/oz",negative,0.0
217,28-08-2018,hedge funds kept betting against gold even as prices began rally,none,0.0
218,27-10-2008,"dec. gold reverses losses, gaining 0.6% to $734.70 an ounce",negative,0.0258
219,24-02-2016,gold futures mark their highest settlement since feb. 11,positive,0.0
220,16-08-2017,current gold rate: check out current gold price,none,0.0
221,18-04-2018,2018 gold price 'could hit $1450',none,0.0
222,11-01-2017,"gold rallies to finish near $1,200 as trump fuels market uncertainty",positive,-0.34
223,07-11-2011,"gold tops $1,790 to end at over six-week high",positive,0.5106
224,01-07-2013,gold futures rebound on firm global cues,positive,0.0
225,22-01-2018,gold prices on track to settle lower for the session,negative,-0.296
226,02-05-2018,Fading aura: Gold set for further correction,negative,0.0
227,20-10-2014,gold prices rebound in asia ahead of china q3 gdp,positive,0.0
228,0201-04-14,"gold, oil hold on to gains post bernanke",positive,0.34
229,06-10-2015,mcx goldguinea november contract rises,positive,0.0
230,06-10-2016,Gold futures mark lowest settlement since early June,negative,-0.3818
231,09-11-2011,"Gold prices trading higher in Chennai, Ahmedabad market",positive,0.0
232,28-10-2009,gold futures remain lower after durable goods,negative,-0.296
233,14-06-2006,gold kist started at hold at stifel nicolaus,neutral,0.0
234,24-11-2017,gold's 47-year bull market,none,0.0
235,10-04-2018,dubai loses glitter as vat tax crimps demand in city of gold,negative,-0.4215
236,29-05-2008,sanguine about gold,positive,0.0
237,18-07-2016,gold ends narrowly higher as 'many uncertainties' plague the market,positive,-0.34
238,22-05-2015,"june gold last at $1,203.90/oz on comex, down 20 cents",negative,0.0
239,04-05-2017,"June gold down 1.5% at $1,230.40/oz.",negative,0.0
240,21-09-2016,gold scores third straight win; edges up more after fed decision,positive,0.6908
241,24-08-2017,Gold settles lower as investors look to Jackson Hole,negative,-0.296
242,16-05-2016,gold rises rs 67 in futures trade on global cues,positive,0.0
243,08-05-2009,gold falls as jobs data clip economic worries,negative,-0.4215
244,22-10-2011,festive demand lifts up gold & silver prices,positive,0.3612
245,08-09-2009,"gold futures up $8.50 at $1,005.20 an ounce",positive,0.0
246,13-06-2016,"Gold hits 4-week high as central bank meetings, Brexit vote shake stocks",positive,-0.1779
247,22-10-2010,"gold closes a tad lower at $1,325.10/oz",negative,-0.296
248,21-05-2012,lower oil prices and weaker gold demand positive for current account deficit,negative,-0.5719
249,10-06-2013,"karvy advises to sell gold, silver",negative,0.0
250,12-09-2012,"oil, gold push higher after german court ruling",positive,0.0
251,19-08-2014,"Gold falls on upbeat U.S. housing, inflation data",negative,0.0
252,27-09-2018,inflation : long-term evidence: gold and inflation,none,0.0
253,21-05-2010,akshay tritiya gold sales to beat last year's record,none,0.0
254,31-05-2018,"gold prices edge higher on weaker dollar, trade tensions",positive,-0.6808
255,24-08-2015,Gold stands tall as China fears fuel safe-haven draw,positive,-0.4215
256,19-04-2013,gold futures turn lower ahead of comex close,negative,-0.296
257,29-08-2017,Gold's 2016 peak now looks easy to reach after the metal's big breakout,positive,0.4588
258,27-07-2016,"Gold settles higher, but seesaws after Fed statement",positive,0.0
259,13-04-2016,india's 2015-16 gold imports drop 16%: report,none,-0.2732
260,24-08-2004,dec gold down 1.4% at $407.10,negative,0.0
261,20-01-2017,"Feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%",positive,0.0
262,15-08-2018,here's why gold might die out as an investment,negative,-0.5994
263,07-04-2008,"gold futures rally, as other commodities also rise",positive,0.0
264,03-12-2018,gold futures mark highest settlement in a month,positive,0.0
265,18-04-2011,"gold advances, oil posts losses after u.s. outlook",positive,-0.4019
266,29-07-2016,gold futures gain nearly 3% for the month,positive,0.5267
267,13-05-2005,apollo gold cut to underperform by bmo nesbitt,none,-0.2732
268,27-11-2018,mining : top gold miners production cost still provides floor in the market price,negative,0.2023
269,17-01-2017,gold to trade in 28372-28686 range: achiievers equities,neutral,0.0
270,12-08-2013,gold rebounds to hit four-month high; silver spurts,positive,0.0
271,06-07-2017,Gold holds slight gain after data,positive,0.4779
272,25-10-2005,gold etfs higher in early trade,positive,0.0
273,11-06-2009,august gold falls 0.4% to $951.30 an ounce,negative,0.0
274,22-12-2017,"february gold up 0.3% at 1,274.80 an ounce",positive,0.0
275,17-08-2017,"gold edges up on softer dollar, palladium at 16-year peak",positive,0.0
276,20-10-2011,MCX GOLD Dec contract trading lower,negative,-0.296
277,19-09-2005,"dec gold climbs $4.60 to $467.90/oz, a 9-mo high",positive,0.0
278,14-03-2017,gold stays close to 6-week low as investors await fed outcome,negative,-0.1779
279,07-08-2014,"gold rises on ukraine unease, though u.s. data cap gains",positive,-0.0772
280,16-10-2015,gold futures down 0.43% on weak global cues,negative,-0.4404
281,12-12-2015,"Gold surges by Rs 290 on global cues; reclaims Rs 26,000-level",positive,0.0
282,10-12-2015,gold ends lower as bearish sentiment takes hold,negative,-0.296
283,04-01-2013,"gold falls 1.5% on day, down 0.4% on week",negative,0.0
284,20-12-2013,"gold futures climb, but end the week down 2.5%",positive,0.0
285,12-01-2016,"Gold edges up after 2-day decline, China concerns support",positive,0.4019
286,26-10-2015,"Gold struggles on firmer dollar, Fed rate hike fears",negative,-0.6486
287,30-04-2008,june gold up $10.40 at $875.50 an ounce on nymex,positive,0.0
288,21-10-2016,"Dec. gold gains 20 cents to settle at $1,267.70/oz for the session",positive,0.34
289,21-10-2011,seasonal demand pushes up gold by rs 375; silver by rs 400,positive,-0.128
290,27-11-2018,Gold edges lower as dollar holds steady,negative,-0.296
291,16-08-2017,Gold prices turn higher ahead of Comex settlement,positive,0.0
292,17-07-2014,"Gold, silver edge higher ahead of U.S. jobless claims, housing data",positive,0.0
293,30-11-2011,"gold futures add $19.80 to $1,733.20",positive,0.0
294,16-10-2017,the curious case of this year's high gold imports,none,0.3182
295,08-02-2013,gold logs modest losses for the day and week,negative,-0.4019
296,06-04-2018,Gold rises on safe-haven buying,positive,0.0
297,13-07-2011,gold options 'fear' traders turn to gold miners,negative,-0.4939
298,17-10-2017,"Dec. gold declines by $16.80, or 1.3%, to settle at $1,286.20/oz",negative,0.0
299,17-11-2014,"gold slips $2.10 to settle at $1,183.50/oz",negative,0.0
300,15-05-2017,"June gold trades $6.80, or 0.6%, higher at $1,234.50/oz.",positive,0.0
301,27-10-2011,"Gold futures down at Rs 27,477 on profit-taking",negative,0.0
302,15-06-2017,get gold at a discount now,none,0.0
303,16-12-2004,"gold futures dull, hold above $440",neutral,-0.4019
304,23-08-2017,"Dec. gold gains $3.70, or 0.3%, to settle at $1,294.70/oz",positive,0.34
305,29-09-2014,Gold prices push higher amid Hong Kong unrest,positive,0.0
306,15-09-2010,"gold closes 0.2% down at $1,268.70/oz",negative,0.0
307,10-02-2017,"Gold pares losses by the finish, gains 1.2% for the week",positive,-0.0772
308,29-11-2017,"gold rate today: gold, silver trade higher in morning deals",positive,0.0
309,07-06-2012,"anz cuts '12 gold outlook, cites dollar headwinds",negative,-0.296
310,10-01-2001,"gold closes lower, palladium rises",negative,-0.296
311,12-10-2006,gold kist rejects pilgrim's pride offer as inadequate,none,-0.5423
312,29-11-2017,waiting for gold to bottom? Watch this group of bulls,negative,0.0
313,12-02-2013,"Gold, silver skid on profit-taking, global cues",negative,0.0
314,18-02-2015,gold futures settle at lowest level since jan. 2,negative,-0.3818
315,15-10-2010,"crude oil higher, gold futures lower after data",negative,-0.7096
316,11-04-2017,Gold futures mark highest finish in about 5 months,positive,0.0
317,28-03-2017,"Gold prices end with a slight loss as U.S. equities, dollar gain ground",negative,0.3384
318,0200-09-30,iamgold deal for gold field non-sadc assets,none,0.1779
319,03-05-2018,india : rising gold prices keep india's jewellery buyers at bay,positive,0.0
320,11-05-2017,"Gold futures trim gain after jobless claims, PPI data",positive,0.5267
321,28-11-2011,MCX GOLD Dec contract trading higher,positive,0.0
322,03-04-2006,gold prices climb over $8 an ounce in afternoon trading,positive,0.0
323,19-12-2011,Gold futures extends losses,negative,-0.296
324,06-03-2018,graham birch : this gold guy managed $40 billion at blackrock - but quit to run a farm instead,none,0.0
325,03-10-2018,"Gold prices rise on softer dollar, Italy budget woes",positive,-0.4404
326,17-08-2011,"gold futures climb $9, edge back up toward $1,800",positive,0.0
327,17-02-2011,gold demand in india rose by 66% to 963 tonnes in 2010: wgc,none,-0.128
328,28-10-2011,MCX GOLDGUINEA Nov contract down marginally,negative,0.0
329,15-01-2004,mining indexes slump on gold slide,negative,0.0
330,06-09-2016,Gold ends near 3-week high as dollar sinks,positive,0.0
331,26-06-2018,gold and silver edge lower while stocks tumble,negative,-0.296
332,01-12-2017,gold prices rip higher following rpts former trump nat. sec. advisor cooperating with special prosecutor,positive,0.4019
333,12-10-2016,"Dec. gold trades at $1,255.40/oz, up from $1,253.80 settlement",positive,0.0
334,28-10-2011,gold futures give up europe-deal gains,positive,0.34
335,22-08-2016,Going for gold: Olympic triumphs literally losing value at Rio Games,none,0.4215
336,12-03-2018,why investors are quietly turning bearish on gold prices,none,0.0
337,19-10-2016,Gold futures log highest finish since Oct. 3,positive,0.0
338,14-02-2017,Gold holds early gains after PPI report,positive,0.34
339,09-04-2018,"rbi followed due process in notifying 80:20 gold scheme, says former deputy guv hr khan",none,0.0
340,05-01-2013,"Gold, silver rebound on aggressive buying",positive,-0.1531
341,19-10-2015,"dec. gold loses $10.30, or 0.9%, to settle at $1,172.80/oz on comex",negative,-0.3182
342,05-09-2017,This-and not North Korea-is why scared investors are buying gold,positive,-0.4404
343,02-02-2015,gold prices rise for second day on jewellers' buying,positive,0.0
344,03-01-2005,feb gold down $7.70 at $430.70/oz in ny,negative,0.0
345,23-10-2018,Gold nudges up as Asian shares edge lower,positive,0.0
346,17-07-2008,"gold futures fall, tracking tumble in oil prices",negative,0.0
347,06-12-2004,gold prices dull on dollar strength,negative,0.128
348,16-09-2011,"gold falls 2% on central banks' action, euro hopes",negative,0.4215
349,06-11-2008,gold sparkles again,positive,0.3182
350,21-08-2015,gold scores biggest weekly gain since january,positive,0.5267
351,13-10-2017,government fixes rate at rs 2987/gm for sovereign gold bond,none,0.0
352,05-10-2017,gold prices to trade volatile: angel commodities,positive,0.0
353,30-05-2018,when will gold finally return to a bull market?,none,0.0
354,07-12-2016,Gold appetite hit a 5-year high in November as prices tumbled,positive,0.0
355,0200-04-16,"june gold down 0.2%, or $1.40, at $688.50/oz in ny",negative,0.0
356,08-02-2017,"April gold climbs $3.40, or 0.3%, to settle at $1,239.50/oz",positive,0.0
357,12-10-2016,gold steady on easing dollar; fed minutes in focus,neutral,0.25
358,12-03-2018,"More upside seen in gold prices; buy futures above Rs 30,450 for target Rs 30,600",positive,0.0
359,29-10-2015,gold slumps over 1% in wake of fed meeting,negative,0.0
360,20-02-2018,singapore firm to mint islamic cryptocurrency backed by gold,none,0.0258
361,22-10-2010,"gold inches down, ends week with 3.4% loss",negative,-0.3182
362,28-07-2005,dec gold climbs $2.80 to $433.30/oz in ny,positive,0.0
363,26-09-2017,Gold prices settle lower after two-session gain,negative,0.296
364,30-11-2016,Gold prices sink nearly 8% in November for worst monthly loss in 2016,negative,-0.7506
365,17-10-2011,"Gain seen in gold prices in Mumbai, Delhi market",positive,0.5267
366,08-10-2018,the spx/gold ratio,none,0.0
